rho1,rho3,k_mcp,k_pip,k_dip,Tmax_N,status,grip_close_N,final_slip_mm
0.4363636363636363,0.4363636363636363,0.072,0.165,0.072,22.114285714285714,slip,6.670358616315475,8.005549409033145
0.4363636363636363,0.5693452734909306,0.072,0.165,0.09394197012600354,26.228571428571428,slip,9.217636354368679,8.009148103944124
0.4363636363636363,0.7428530093564767,0.072,0.165,0.12257074654381866,28.264285714285712,slip,8.36337490883824,8.006547412163618
0.4363636363636363,0.9692371557358053,0.072,0.165,0.15992413069640787,30.364285714285714,slip,0.0,8.008850989331444
0.4363636363636363,1.26461177679369,0.072,0.165,0.20866094317095885,33.535714285714285,slip,1.1259319131576484,8.004393950582992
0.4363636363636363,1.6500016910631263,0.072,0.165,0.2722502790254159,36.23571428571429,slip,3.20362711928014,8.009232253650397
0.4363636363636363,2.1528390218014946,0.072,0.165,0.3552184385972466,40.43571428571428,slip,11.740103594915189,8.00237768293673
0.4363636363636363,2.808915820446815,0.072,0.165,0.4634711103737245,45.535714285714285,slip,18.318681120206115,8.014358745942973
0.4363636363636363,3.6649317512621313,0.072,0.165,0.6047137389582516,50.378571428571426,slip,27.370436692413737,8.005874711140255
0.4363636363636363,4.781818181818182,0.072,0.165,0.7890000000000001,55.69285714285714,slip,15.135839192163278,8.000833433397192
0.5693452734909306,0.4363636363636363,0.09394197012600354,0.165,0.072,21.642857142857146,slip,7.94943734589981,8.00103998142087
0.5693452734909306,0.5693452734909306,0.09394197012600354,0.165,0.09394197012600354,26.25,slip,5.322927719526342,8.017108709626259
0.5693452734909306,0.7428530093564767,0.09394197012600354,0.165,0.12257074654381866,28.28571428571429,slip,10.65269889931269,8.00755986624809
0.5693452734909306,0.9692371557358053,0.09394197012600354,0.165,0.15992413069640787,29.785714285714285,slip,0.0,8.014207678671278
0.5693452734909306,1.26461177679369,0.09394197012600354,0.165,0.20866094317095885,32.91428571428571,slip,0.9567554755656635,8.005820378216212
0.5693452734909306,1.6500016910631263,0.09394197012600354,0.165,0.2722502790254159,36.3,slip,0.0,8.01529268708672
0.5693452734909306,2.1528390218014946,0.09394197012600354,0.165,0.3552184385972466,40.58571428571429,slip,11.874665533546066,8.006926372822923
0.5693452734909306,2.808915820446815,0.09394197012600354,0.165,0.4634711103737245,45.621428571428574,slip,17.727331333608465,8.001282200153902
0.5693452734909306,3.6649317512621313,0.09394197012600354,0.165,0.6047137389582516,50.80714285714286,slip,25.58841614574741,8.001158176964468
0.5693452734909306,4.781818181818182,0.09394197012600354,0.165,0.7890000000000001,55.73571428571428,slip,37.125807441665366,8.00062684091343
0.7428530093564767,0.4363636363636363,0.12257074654381866,0.165,0.072,22.092857142857145,slip,6.873858477724526,8.004723418582687
0.7428530093564767,0.5693452734909306,0.12257074654381866,0.165,0.09394197012600354,25.521428571428572,slip,5.717210602082126,8.00841178486155
0.7428530093564767,0.7428530093564767,0.12257074654381866,0.165,0.12257074654381866,28.54285714285714,slip,10.590366835579779,8.002367236299962
0.7428530093564767,0.9692371557358053,0.12257074654381866,0.165,0.15992413069640787,31.007142857142856,slip,0.0,8.005581571138048
0.7428530093564767,1.26461177679369,0.12257074654381866,0.165,0.20866094317095885,32.80714285714286,slip,0.737828906282168,8.001831549969204
0.7428530093564767,1.6500016910631263,0.12257074654381866,0.165,0.2722502790254159,36.72857142857143,slip,6.151970130068292,8.012527902248111
0.7428530093564767,2.1528390218014946,0.12257074654381866,0.165,0.3552184385972466,40.56428571428571,slip,0.0,8.012176671587948
0.7428530093564767,2.808915820446815,0.12257074654381866,0.165,0.4634711103737245,46.09285714285714,slip,18.62640952164073,8.005264304341884
0.7428530093564767,3.6649317512621313,0.12257074654381866,0.165,0.6047137389582516,51.06428571428571,slip,24.751214688792395,8.007761407093504
0.7428530093564767,4.781818181818182,0.12257074654381866,0.165,0.7890000000000001,56.035714285714285,slip,19.660369290334472,8.004240212522094
0.9692371557358053,0.4363636363636363,0.15992413069640787,0.165,0.072,22.02857142857143,slip,7.02006379717556,8.001304008304604
0.9692371557358053,0.5693452734909306,0.15992413069640787,0.165,0.09394197012600354,26.52857142857143,slip,8.943692528505377,8.006685255451163
0.9692371557358053,0.7428530093564767,0.15992413069640787,0.165,0.12257074654381866,28.885714285714283,slip,11.34731973880903,8.014433612105305
0.9692371557358053,0.9692371557358053,0.15992413069640787,0.165,0.15992413069640787,29.785714285714285,slip,0.0,8.0084754718429
0.9692371557358053,1.26461177679369,0.15992413069640787,0.165,0.20866094317095885,32.82857142857143,slip,0.4516887951686885,8.001309797896646
0.9692371557358053,1.6500016910631263,0.15992413069640787,0.165,0.2722502790254159,37.22142857142857,slip,6.576826824073766,8.000322381903787
0.9692371557358053,2.1528390218014946,0.15992413069640787,0.165,0.3552184385972466,40.69285714285714,slip,10.820261516876311,8.00280393210667
0.9692371557358053,2.808915820446815,0.15992413069640787,0.165,0.4634711103737245,45.79285714285714,slip,17.866616651366844,8.007312056449015
0.9692371557358053,3.6649317512621313,0.15992413069640787,0.165,0.6047137389582516,51.42857142857143,slip,0.0,8.000505590319065
0.9692371557358053,4.781818181818182,0.15992413069640787,0.165,0.7890000000000001,56.378571428571426,slip,37.34473766560376,8.006739873217102
1.26461177679369,0.4363636363636363,0.20866094317095885,0.165,0.072,22.307142857142857,slip,6.230589397840962,8.003047165588994
1.26461177679369,0.5693452734909306,0.20866094317095885,0.165,0.09394197012600354,26.978571428571428,slip,10.616922366142823,8.002218799353578
1.26461177679369,0.7428530093564767,0.20866094317095885,0.165,0.12257074654381866,29.207142857142856,slip,13.22482027427014,8.008860640773875
1.26461177679369,0.9692371557358053,0.20866094317095885,0.165,0.15992413069640787,31.5,slip,0.806643646036798,8.002932411996722
1.26461177679369,1.26461177679369,0.20866094317095885,0.165,0.20866094317095885,32.871428571428574,slip,0.0,8.009754564616188
1.26461177679369,1.6500016910631263,0.20866094317095885,0.165,0.2722502790254159,36.85714285714286,slip,5.576799556116403,8.005833023824165
1.26461177679369,2.1528390218014946,0.20866094317095885,0.165,0.3552184385972466,40.82142857142857,slip,12.967828804029427,8.008258582160847
1.26461177679369,2.808915820446815,0.20866094317095885,0.165,0.4634711103737245,46.41428571428572,slip,17.31492724632358,8.004428594071955
1.26461177679369,3.6649317512621313,0.20866094317095885,0.165,0.6047137389582516,51.707142857142856,slip,29.247529850001143,8.003097811802286
1.26461177679369,4.781818181818182,0.20866094317095885,0.165,0.7890000000000001,57.214285714285715,slip,31.82414213657964,8.00566051430615
1.6500016910631263,0.4363636363636363,0.2722502790254159,0.165,0.072,22.607142857142858,slip,6.788941930266439,8.00572648625725
1.6500016910631263,0.5693452734909306,0.2722502790254159,0.165,0.09394197012600354,27.107142857142858,slip,10.981140496961594,8.011722868540604
1.6500016910631263,0.7428530093564767,0.2722502790254159,0.165,0.12257074654381866,29.292857142857144,slip,13.151474036796996,8.016009819302647
1.6500016910631263,0.9692371557358053,0.2722502790254159,0.165,0.15992413069640787,30.514285714285716,slip,2.0913044142541244,8.003681756938775
1.6500016910631263,1.26461177679369,0.2722502790254159,0.165,0.20866094317095885,33.25714285714286,slip,0.0,8.001553159503349
